id,v0,v1,v2,v3,v4,v5,v6,v7
v0,0.1257,-0.1321,0.6404,0.1049,-0.5357,0.3616,1.3040,0.9471
v1,-0.7037,-1.2654,-0.6233,0.0413,-2.3250,-0.2188,-1.2459,-0.7323
v2,-0.5443,-0.3163,0.4116,1.0425,-0.1285,1.3665,-0.6652,0.3515
v3,0.9035,0.0940,-0.7435,-0.9217,-0.4577,0.2202,-1.0096,-0.2092
v4,-0.1592,0.5408,0.2147,0.3554,-0.6538,-0.1296,0.7830,1.4934
v5,-1.2591,1.5139,1.3459,0.7813,0.2645,-0.3139,1.4580,1.9603
v6,1.8016,1.3151,0.3574,-1.2083,-0.0045,0.6565,-1.2884,0.3951
v7,0.4299,0.6960,-1.1841,-0.6617,-0.4364,-1.1698,1.7394,-0.4959
v8,0.3290,-0.2586,1.5835,1.3204,0.6334,-2.2035,0.0520,0.6837
v9,1.0030,-0.6179,1.8220,-1.3204,-0.6615,0.9351,0.0491,2.0024
v10,0.1885,-0.6332,-0.3776,-1.0911,-1.2777,0.6304,0.5812,1.2946
v11,-0.7546,1.6891,-0.2874,1.5744,-0.4328,-0.7355,0.2498,1.0315
v12,0.1610,-0.5855,-1.3412,-1.4015,0.5027,0.9897,-0.1643,-1.0744
v13,0.8730,-1.2804,-0.7131,0.6210,-2.2501,0.3864,-0.5816,0.1093
v14,-0.0757,0.2021,0.6942,-0.7584,1.4200,0.7261,0.8437,1.1649
v15,0.7876,0.8441,0.0756,-1.4268,-0.1350,-0.7695,-1.4227,0.2585
v16,-0.5685,-1.0298,-1.0430,0.2684,0.3587,1.3225,-0.0139,1.0418
v17,1.4023,1.1502,-2.3653,1.2287,0.3396,0.4238,0.3712,0.3828
v18,0.3194,-0.3589,-1.9016,-0.1089,-0.8037,1.0802,-0.2888,0.0835
v19,-0.8496,0.2100,-0.6220,-1.6440,-0.6480,-0.9250,-0.3096,0.4568
